Kind,Artifact,Reviewer comment,Single purpose,Files
table,table_archive_inventory_full,A6,"Every clip present in the archive, by class and signer, before class selection or balancing. The audit trail for the study corpus below.",tables/table_archive_inventory_full.csv
table,table_unreadable_clips,A6,"Video files that report zero frames or zero resolution and therefore cannot contribute any landmarks. They are excluded here rather than silently producing all-zero sequences. Check whether these recordings still exist in usable form; if not, the corpus count in Section 3.2.3 must be reduced accordingly.",tables/table_unreadable_clips.csv
table,table_recording_conditions_measured,"A6, B6","MEASURED recording conditions per signer, against what Section 3.2.2 asserts. Read this carefully before revising: the manuscript states that every clip was recorded at 30 fps, and states a raw sequence-length range of 15-300 frames. Whatever this table says is what the files contain. If more than one frame rate is present, the consequence must be stated, because a 60 fps clip covers half the real time of a 30 fps clip over the same number of frames, and the temporal augmentation in Eq. (2) is defined in frames rather than in seconds.",tables/table_recording_conditions_measured.csv
table,table02_corpus_composition,A6,"Manuscript Table 2. Gesture inventory and per-signer composition of the study corpus. Augmented totals are NOT shown here on purpose: augmentation is applied to the training partition only, so a per-class augmented total for the whole corpus (as in the published Table 2) is not a quantity the pipeline produces. The augmented counts appear per partition in table_split_and_augmentation.",tables/table02_corpus_composition.csv
table,table03_dataset_properties,"A6, B6","Manuscript Table 3. Corpus properties and preprocessing, measured from the files rather than transcribed from the recording protocol.",tables/table03_dataset_properties.csv
table,table_manuscript_vs_measured,"A6, B6",Every quantitative claim in Sections 3.2-3.4 of the manuscript beside what the files actually contain. Work through this table first: each row is either a confirmation you can cite or a correction you have to make.,tables/table_manuscript_vs_measured.csv
table,inventory_study_corpus,"A6, A14","Clip-level manifest of the study corpus: path, class, signer, take, frame count, fps, duration, resolution.",tables/inventory_study_corpus.csv
figure,fig_corpus_composition,"A6, B4","Composition of the study corpus: (a) clips per class and signer, (b) distribution of raw sequence lengths against the standardized 60-frame window, (c) clip duration per class.",figures/fig_corpus_composition.png; figures/fig_corpus_composition.pdf; figures/fig_corpus_composition.svg
table,landmark_quality_log,B6,"Per-clip MediaPipe detection rates for pose, each hand and the face stream. Evidence behind the 90% landmark-quality threshold in Section 3.2.4.",tables/landmark_quality_log.csv
table,table_landmark_detection_quality,B6,MediaPipe Holistic detection reliability per landmark stream over the study corpus. The pose row is what the 90% acquisition threshold was applied to; the hand rows show how how often each manual channel was actually recovered.,tables/table_landmark_detection_quality.csv
figure,fig_landmark_detection_quality,B6,"Distribution of MediaPipe detection rates over the corpus, per landmark stream.",figures/fig_landmark_detection_quality.png; figures/fig_landmark_detection_quality.pdf; figures/fig_landmark_detection_quality.svg
figure,fig02_representative_frames,B4,"Manuscript Figure 2. Temporally ordered frames of one gesture from each signer, sampled uniformly across the clip, showing the preparation, stroke and retraction phases under the recording geometry of Section 3.2.2.",figures/fig02_representative_frames.png; figures/fig02_representative_frames.pdf; figures/fig02_representative_frames.svg
figure,fig_landmark_overlay,B5,"The 33 pose and 2 x 21 hand landmarks that form the 258-dimensional feature vector, overlaid on the source frames. Makes the input representation concrete.",figures/fig_landmark_overlay.png; figures/fig_landmark_overlay.pdf; figures/fig_landmark_overlay.svg
table,table_sequence_standardization,B6,"What the 60-frame window actually does to this corpus. If most of the window is padding, two things follow for the manuscript: the input Masking layer and the attention mask are doing real work rather than being a formality, and the choice of T = 60 deserves a sentence of justification. The ablation section measures uniform temporal resampling as the alternative.",tables/table_sequence_standardization.csv
table,table_split_per_class,"A6, B13","Original (un-augmented) clips per class in each partition. The test column is the support column of the per-class metrics table and of the confusion matrix, so the three are guaranteed to agree.",tables/table_split_per_class.csv
table,table_signer_distribution,B15,"Signer composition of each partition. Both signers appear in all three partitions, so the protocol measures generalization to unseen repetitions by known signers, not to unseen signers. This is the table that makes the signer-dependent scoping in Section 4.1 verifiable; the leave-one-signer-out experiment in the signer-independent table is the complement to it.",tables/table_signer_distribution.csv
table,table_split_and_augmentation,A6,"THE TABLE THAT ANSWERS REVIEWER A COMMENT 6. The split is applied to the original clips first; augmentation expands the training partition 7-fold and touches neither validation nor test. The test partition therefore consists of 126 original clips, 18 per class over 7 classes, which is what the confusion matrix reports. Multiplying the whole corpus by 7 (the published 5,880 figure) describes augmenting every partition, which is not the procedure that produced these results.",tables/table_split_and_augmentation.csv
table,table_augmentation_variants,A6,"Manuscript Figure 3(a) as a table: what each augmentation variant does and how many training sequences it contributes. Every variant is applied to every training clip, so the contributions are uniform by construction.",tables/table_augmentation_variants.csv
figure,fig03_augmentation,A6,"Manuscript Figure 3. (a) Uniform contribution of each augmentation variant to the augmented training set; (b) partition sizes, showing that augmentation expands only the training partition; (c) the effect of each variant on one clip. Panel (b) of the published figure — the accuracy gain from augmentation — is now the no-augmentation row of the ablation table, measured under the identical protocol.",figures/fig03_augmentation.png; figures/fig03_augmentation.pdf; figures/fig03_augmentation.svg
record,config,"B6, A14","The complete, exact configuration behind every reported number: extraction, normalization scope, split order, augmentation, optimizer and callbacks. This is the artifact Reviewer B comment 6 asks for and the basis of the reproducibility claim.",config.json
record,attention_specification,A5,"Complete technical specification of the temporal attention mechanism: input, dimensionality, scoring function, normalization, masking and output. Written so Section 3.5 can be checked line by line against the implementation.",attention_specification.json
table,table_class_balance_by_stage,B11,"REVIEWER B COMMENT 11. Class balance measured at every stage of the pipeline. The manuscript describes the corpus as balanced by design but then states that class weighting was necessary; this table shows where, if anywhere, imbalance actually enters. The weighting policy below is set from the training-partition row, not from the text.",tables/table_class_balance_by_stage.csv
table,table_runtime_estimate,,Wall-clock estimate from a 1-epoch probe at 35.0 s/epoch on this runtime. Raw-pixel runs cost several times more per epoch than this estimate assumes.,tables/table_runtime_estimate.csv
table,table07_baseline_comparison,"A7, A9","MANUSCRIPT TABLE 7 / REVIEWER A COMMENT 7. Every architecture the reviewer named -- MLP, CNN, CNN-LSTM, unidirectional LSTM and GRU, BiGRU, BiLSTM, Transformer encoder, and a skeleton graph network -- trained under one protocol on one corpus with one split. This is the only table in the paper that supports a comparative claim; the cross-study positioning table does not.",tables/table07_baseline_comparison.csv
table,all_runs_metrics,"A7, A9","Every metric of every individual training run: accuracy, balanced accuracy, macro precision/recall/F1, weighted F1, kappa, MCC, macro AUC, macro AP, top-2 accuracy, log loss, epochs, best epoch, wall-clock time and parameter count. The complete record behind every aggregate in the paper.",tables/all_runs_metrics.csv
figure,fig05_baseline_comparison,A7,"Manuscript Figure 5. Test accuracy of every architecture under the identical protocol; bars are the mean over seeds, error bars one standard deviation.",figures/fig05_baseline_comparison.png; figures/fig05_baseline_comparison.pdf; figures/fig05_baseline_comparison.svg
figure,fig_accuracy_vs_parameters,"A1, A7, B10",Accuracy against parameter count. Supports the Introduction argument (A1) that a compact landmark model is the appropriate response to a small corpus: the high-capacity pixel models sit below the compact landmark models.,figures/fig_accuracy_vs_parameters.png; figures/fig_accuracy_vs_parameters.pdf; figures/fig_accuracy_vs_parameters.svg
figure,fig04_learning_curves,A7,Manuscript Figure 4. Training (solid) and validation (dashed) trajectories of the proposed model for every seed; dotted lines mark held-out test performance. The narrow train-validation gap is the evidence for the regularization claim in Section 4.2.,figures/fig04_learning_curves.png; figures/fig04_learning_curves.pdf; figures/fig04_learning_curves.svg
