Comment ID,Reviewer,No.,Comment,Kind,Evidence file(s),What to say in the response
A1,A,1,Strengthen the problem-to-method rationale in the Introduction,text + evidence,tables/table09_ablation_study.csv (no-augmentation row); figures/fig_accuracy_vs_parameters.png; tables/table_parameters_vs_accuracy.csv,"The small-data argument is now measurable: augmentation is the largest single component, and the compact landmark models beat the high-capacity pixel models."
A2,A,2,"Section 2 must build a research gap, not summarize theory",text only,tables/related_work_synthesis_template.csv,A writing change. The template gives the columns a gap-oriented synthesis needs.
A3,A,3,"Table 1 needs signers, classes, scale, availability, setting, gaps",text only,tables/table01_positioning_template.csv,Already largely addressed in R3; the template keeps the columns consistent and omits accuracy by construction.
A4,A,4,"Justify depth, width, dropout, dense layers and regularization",EVIDENCE,tables/table09_ablation_study.csv; figures/fig08_ablation.png,"Depth (1 / 2 / 3 layers), width (64-32 / 128-64 / 256-128), batch normalization, dropout and L2 each measured as a single-variable change."
A5,A,5,Specify the attention mechanism fully and reproducibly,EVIDENCE,attention_specification.json; figures/fig_attention_block.png; figures/fig07_attention_weights.png; tables/table_attention_concentration.csv; attention_weights_test.npy,"Input, dimensionality, scoring function, softmax, masking and output are specified, drawn, measured and exported; five scoring alternatives are compared."
A6,A,6,"Reconcile 840 / 5,880 / 126 and state the split order",EVIDENCE,tables/table_split_and_augmentation.csv; tables/table_split_per_class.csv; tables/table_augmentation_variants.csv,"Split first, then augment the training partition only. Test = original clips, so the confusion-matrix support is reproducible."
A7,A,7,"Compare with CNN/MLP, BiLSTM/GRU, Transformer and skeleton models",EVIDENCE,tables/table07_baseline_comparison.csv; figures/fig05_baseline_comparison.png; tables/all_runs_metrics.csv,"Twelve architectures across every family named, one protocol, multiple seeds."
A8,A,8,"Position Table 11 as literature positioning, not a benchmark",text only,tables/table11_positioning.csv,Accuracy columns omitted by construction; the caption states that no comparison is implied.
A9,A,9,Superiority claims must rest on same-dataset experiments,EVIDENCE,tables/table_mcnemar_tests.csv; tables/table_bootstrap_confidence_intervals.csv; tables/table_cross_validation_summary.csv; tables/table_seed_level_tests.csv,"Paired McNemar tests with Holm correction, bootstrap intervals on the difference, and repeated cross-validation. Claim only what these support."
A10,A,10,Justify excluding the MediaPipe face landmarks,EVIDENCE,tables/table09_ablation_study.csv (face rows); tables/table_parameter_audit.csv,"Measured with the full 468-landmark face stream and with a 40-landmark compact set, so the exclusion rests on a measurement rather than on a parameter-budget argument."
A11,A,11,Consolidate Sections 4.8-4.12 into one subsection,text only,-,"Already done in R3 as Section 4.7 ""Limitations and Deployment Considerations""."
A12,A,12,Delete the applied-computer-engineering relevance subsection,text only,-,Already removed in R3. Confirm it in the response letter.
A13,A,13,Separate limitations from future work,text only,-,Already done in R3 as Sections 4.7.1 and 4.7.3.
A14,A,14,Release the dataset and code publicly,EVIDENCE,swsl_release_bundle.zip; swsl_release/README.md; swsl_release/CITATION.cff,"Upload to Zenodo for a DOI, mirror the code on GitHub, and replace ""available upon reasonable request"" in the Data Availability Statement with the DOI."
A15,A,15,Add a system architecture diagram,EVIDENCE,figures/fig_system_architecture.png/.pdf/.svg; figures/fig_landmark_pipeline.png,Recognition stage visually separated from the pretrained synthesis stage. Replaces Figure 1.
B1,B,1,Present MMS-VITS as a downstream pretrained component,text + evidence,tts_config.json; figures/fig_system_architecture.png,"The configuration record states ""downstream, pretrained"" first, and the diagram shows it."
B2,B,2,Position the novelty as implementation and evaluation on low-resource SwSL,text only,-,A framing change in the Introduction and Conclusions.
B3,B,3,"Cite ""Bridging Communication Gaps..."" in Section 2",text only,-,Reference [30] is a placeholder in R3; the full bibliographic details must be filled in.
B4,B,4,"Give the linguistic and visual characteristics, tied to the ablation",EVIDENCE,tables/table_gesture_characteristics.csv; tables/table_characteristics_vs_ablation.csv; figures/fig_characteristics_correlation.png; figures/fig02_representative_frames.png,"Handedness, location, movement, handshape, orientation and non-manual activity measured per class, then set beside per-class recall under each feature ablation."
B5,B,5,Diagram: frame to 33+21+21 to 258 to 60x258 to BiLSTM,EVIDENCE,figures/fig_landmark_pipeline.png; figures/fig_landmark_overlay.png,Both the schematic and the landmarks drawn on real frames.
B6,B,6,Define the min-max normalization scope precisely,EVIDENCE,config.json (normalization block); tables/table09_ablation_study.csv (normalization rows),"Four schemes defined and all four measured; the default is fitted on the training partition only, so it is both precise and leak-free."
B7,B,7,"Document the MMS-VITS checkpoint, fine-tuning and inference configuration",EVIDENCE,tts_config.json; tables/table_label_to_speech_mapping.csv; tables/table_speech_synthesis.csv; audio/,"Checkpoint, architecture, parameters, sampling rate, generation parameters, text normalization, latency, and one audio file per class."
B8,B,8,"Attribute the accuracy to recognition, not to the synthesis stage",text + evidence,tables/table_overall_metrics_proposed.csv; tts_config.json,Every metric table is scoped to the recognition stage; the TTS record states that no evaluation of synthesis was performed.
B9,B,9,Same as B8 (the comment is repeated),text + evidence,tables/table_overall_metrics_proposed.csv,Covered by B8.
B10,B,10,The parameter count does not follow from the layer table,EVIDENCE,tables/table05_parameter_audit.csv; tables/table_parameter_reconciliation.csv,"True layer-by-layer counts, MACs per clip and serialized size, beside the published claims. The weight-sharing footnote must be deleted."
B11,B,11,"Balanced corpus versus ""class weighting is necessary""",EVIDENCE,tables/table_class_balance_by_stage.csv; config.json (class_weighting),Imbalance measured at seven pipeline stages; the weighting policy follows from the measurement.
B12,B,12,The same numbers are repeated across tables and figures,text only,tables/artifact_inventory.csv,Each artifact has one stated purpose. Use the inventory to decide which of the duplicated presentations to keep.
B13,B,13,Report the confusion matrix as absolute counts,EVIDENCE,tables/table_confusion_matrix_counts.csv; figures/fig06_confusion_matrix_counts.png; tables/table08_per_class_metrics.csv; tables/confusion_matrix_summed_over_seeds.csv,"The ""17 (94.4%)"" format, plus counts summed over seeds and absolute correct/error columns in the per-class table."
B14,B,14,Soften real-time claims or benchmark the runtime,EVIDENCE,tables/table_runtime_benchmark.csv; figures/fig_runtime_benchmark.png; tables/table_confidence_threshold_sweep.csv; tables/table_calibration_bins.csv,"Per-frame extraction cost and per-clip inference latency with percentiles on CPU and GPU, an explicit verdict against the 30 fps budget, and the threshold sweep that makes the confidence gate in Algorithm 1 concrete."
B15,B,15,Clarify the signer-dependent protocol; run signer-independent if feasible,EVIDENCE,tables/table_signer_independent.csv; tables/table_protocol_comparison.csv; tables/table_signer_independent_per_class.csv; tables/table_signer_distribution.csv; figures/fig_signer_independent_confusion.png,Leave-one-signer-out was run. Report the gap between the two protocols and keep the precision caveat; do not keep the claim that the measurement is impossible.
B16,B,16,Interpret the feature ablation cautiously,EVIDENCE,tables/table_characteristics_vs_ablation.csv; tables/table_ablation_per_class_recall.csv,"Framed throughout as measured feature importance in this corpus, explicitly not as a linguistic claim about SwSL."
B17,B,17,Condense the conclusion,text only,MANUSCRIPT_NUMBERS.md,"Keep four things: contributions, main finding, the two binding limitations (signer dependence, unmeasured latency on target hardware), and next validation steps."
